SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
17	doc93	Melatonin versus placebo Melatonin probably results in a reduction in preoperative anxiety measured by a visual analogue scale (VAS, 0 to 100 mm) compared to placebo (mean difference (MD) -11.69, 95% confidence interval (CI) -13.80 to -9.59; 18 studies, 1264 participants; moderate-certainty evidence), based on a meta-analysis of 18 studies.		Melatonina frente a placebo. La melatonina probablemente da como resultado una reducción de la ansiedad preoperatoria medida por una escala analógica visual (EAV, de 0 a 100 mm) en comparación con el placebo (diferencia media [DM] -11,69, intervalo de confianza [IC] del 95 % de -13,80 a -9,59; 18 estudios, 1264 participantes; evidencia de certeza moderada), basada en un metaanálisis de 18 estudios.					None
18	doc93	Melatonin may reduce immediate postoperative anxiety measured on a 0 to 100 mm VAS compared to placebo (MD -5.04, 95% CI -9.52 to -0.55; 7 studies, 524 participants; low-certainty evidence), and may reduce delayed postoperative anxiety measured six hours after surgery using the State-Trait Anxiety Inventory (STAI) (MD -5.31, 95% CI -8.78 to -1.84; 2 studies; 73 participants; low-certainty evidence). Melatonin versus benzodiazepines (midazolam and alprazolam) Melatonin probably results in little or no difference in preoperative anxiety measured on a 0 to 100 mm VAS (MD 0.78, 95% CI -2.02 to 3.58; 7 studies, 409 participants; moderate-certainty evidence) and there may be little or no difference in immediate postoperative anxiety (MD -2.12, 95% CI -4.61 to 0.36; 3 studies, 176 participants; low-certainty evidence).		La melatonina puede reducir la ansiedad posoperatoria inmediata medida en una EAV de 0 a 100 mm en comparación con el placebo (DM de -5,04, IC del 95 % de -9,52 a -0,55; 7 estudios, 524 participantes; evidencia de certeza baja), y puede reducir la ansiedad posoperatoria tardía medida seis horas después de la cirugía utilizando el Inventario de Ansiedad por Rasgos Estatales (STAI) (DM de -5,31, IC del 95 % de -8,78 a -1,84; 2 estudios; 73 participantes; evidencia de certeza baja). Melatonina frente a benzodiacepinas (midazolam y alprazolam). La melatonina probablemente da como resultado una diferencia nula o escasa en la ansiedad preoperatoria medida en una EAV de 0 a 100 mm (DM de 0,78, IC del 95 % de -2,02 a 3,58; 7 estudios, 409 participantes; evidencia de certeza moderada) y puede haber una diferencia nula o escasa en la ansiedad posoperatoria inmediata (DM de -2,12, IC del 95 % de -4,61 a 0,36; 3 estudios, 176 participantes; evidencia de certeza baja).					None
19	doc93	Adverse events Fourteen studies did not report on adverse events.		Eventos adversos. En catorce estudios no se informaron eventos adversos.					None
20	doc93	Six studies specifically reported that no side effects were observed, and the remaining seven studies reported cases of nausea, sleepiness, dizziness, and headache; however, no serious adverse events were reported.		En seis estudios, específicamente, se informó que no se observaron efectos adversos, y en los siete estudios restantes se notificaron casos de náuseas, somnolencia, mareos y dolor de cabeza; sin embargo, no se notificaron eventos adversos graves.					None
21	doc93	Eleven studies measured psychomotor and cognitive function, or both, and in general, these studies found that benzodiazepines impaired psychomotor and cognitive function more than placebo and melatonin.		En once estudios se midieron la función psicomotora y cognitiva, o ambas, y en general, se halló que las benzodiacepinas alteraron la función psicomotora y cognitiva más que el placebo y la melatonina.					None
22	doc93	Fourteen studies evaluated sedation and generally found that benzodiazepine caused the highest degree of sedation, but melatonin also showed sedative properties compared to placebo.		En catorce estudios se evaluaron la sedación y, en general, se halló que las benzodiacepinas lograban el mayor grado de sedación, pero la melatonina también mostró propiedades sedantes en comparación con el placebo.					None
23	doc93	Several studies did not report on adverse events; therefore, it is not possible to conclude with certainty, from the data on adverse effects collected in this review, that melatonin is better tolerated than benzodiazepines.		En varios estudios no se informaron eventos adversos; por lo tanto, no es posible concluir con certeza, a partir de los datos sobre los efectos adversos recopilados en esta revisión, que la melatonina se tolera mejor que las benzodiacepinas.					None
24	doc93	When compared with placebo, melatonin given as premedication (as tablets or sublingually) probably reduces preoperative anxiety in adults (measured 50 to 120 minutes after administration), which is potentially clinically relevant.		En comparación con el placebo, la melatonina administrada como premedicación (en comprimidos o por vía sublingual) probablemente reduce la ansiedad preoperatoria en adultos (medida entre 50 y 120 minutos después de la administración), lo que es potencialmente relevante desde el punto de vista clínico.					None
25	doc93	The effect of melatonin on postoperative anxiety compared to placebo (measured in the recovery room and six hours after surgery) was also evident but was much smaller, and the clinical relevance of this finding is uncertain.		El efecto de la melatonina sobre la ansiedad posoperatoria en comparación con el placebo (medido en la sala de recuperación y seis horas después de la cirugía) también fue evidente, pero fue mucho menor, y la relevancia clínica de este hallazgo es incierta.					None
26	doc93	There was little or no difference in anxiety when melatonin was compared with benzodiazepines.		Hubo una diferencia nula o escasa en la ansiedad cuando se comparó la melatonina con las benzodiacepinas.					None
27	doc93	Thus, melatonin may have a similar effect to benzodiazepines in reducing preoperative and postoperative anxiety in adults.		Por lo tanto, la melatonina puede tener un efecto similar al de las benzodiacepinas en la reducción de la ansiedad preoperatoria y posoperatoria en adultos.					None
1	doc94	Introduction: thickeners are widely used in swallowing disorders, both for diagnosis and to achieve a safe and effective diet.		Introducción: los espesantes son ampliamente utilizados en los trastornos de la deglución, tanto para el diagnóstico como para lograr una alimentación segura y eficaz.					None
2	doc94	Recently, products composed of gums have been commercialized in the Spanish market in order to improve the organoleptic and physical qualities of thickened foods.		Recientemente, se han comercializado en el mercado español productos compuestos por goma con el fin de mejorar las cualidades organolépticas y físicas de los alimentos espesados.					None
3	doc94	Objective: to compare thickening agents of clinical scope marketed in Spain, and to verify their organoleptic and physical characteristics, to be used in the diagnostic procedures and the feeding of patients with dysphagia.		Objetivo: comparar los agentes espesantes de grado clínico comercializados en España y verificar sus características organolépticas y físicas para su uso en los procedimientos diagnósticos y la alimentación de los pacientes con disfagia.					None
4	doc94	Method: the organoleptic (appearance, colour, smell, taste, aftertaste) and physical (solubility, stability) properties of eight thickeners (4 classic starch-based and 4 new gum-based) were assessed in a sample of 44 healthy subjects.		Método: se evaluaron las propiedades organolépticas (apariencia, color, olor, sabor, regusto) y físicas (solubilidad, estabilidad) de ocho espesantes (4 clásicos a base de almidón y 4 nuevos a base de goma) en una muestra de 44 sujetos sanos.					None
5	doc94	In addition, their usefulness in diagnostic tests was studied by mixing them with dyes and water-soluble contrasts.		Además, se estudió su utilidad en pruebas de diagnóstico, mezclándolas con tintes y contrastes solubles en agua.					None
6	doc94	Results and conclusions: new-generation thickeners, based on gums, generally obtain better scores for their physical and organoleptic qualities than conventional thickeners.		Resultados y conclusiones: los espesantes de nueva generación, basados en goma, generalmente obtienen mejores puntuaciones por sus cualidades físicas y organolépticas que los espesantes convencionales.					None
7	doc94	Starch thickeners are more suitable for diagnostic tests, as gum thickeners present some peculiarities in their mixtures with dyes and contrasts that must be taken into account in diagnostic tests.		Los espesantes de almidón son más adecuados para las pruebas de diagnóstico, ya que los espesantes de goma presentan algunas peculiaridades en sus mezclas con colorantes y contrastes que deben tenerse en cuenta en las pruebas de diagnóstico.					None
1	doc95	It remains unclear whether extended lymphadenectomy provides oncological advantages in colorectal cancer.		Aún no está claro si la linfadenectomía prolongada proporciona ventajas oncológicas en el cáncer colorrectal.					None
2	doc95	This multicentre RCT aimed to address this issue.		Este ECA multicéntrico tenía como objetivo abordar este problema.					None
3	doc95	Patients with resectable primary colonic cancer were enrolled in four hospitals registered in the COLD trial, and randomized to D2 or D3 dissection in a 1 : 1 ratio.		Los pacientes con cáncer de colon primario resecable se inscribieron en cuatro hospitales registrados en el ensayo COLD y se les asignó aleatoriamente a una disección D2 o D3 en una proporción de 1:1.					None
4	doc95	Data were analysed to assess the safety of D3 dissection.		Se analizaron los datos para evaluar la seguridad de la disección D3.					None
5	doc95	The study included the first 100 patients randomized in this ongoing trial.		El estudio incluyó a los primeros 100 pacientes aleatorizados en este ensayo en curso.		El estudio incluyó a los primeros 100 pacientes <tag>aleatorizados</tag> en este ensayo en curso.	Style - Non-fluent	Major	None
6	doc95	Ninety-nine patients were included in the intention-to-treat (ITT) analysis (43 D2, 56 D3).	Ninety-nine <tag>patients</tag> were included in the intention-to-treat (ITT) analysis (43 D2, 56 D3).	Se incluyeron noventa y nueve en el análisis por intención de tratar (ITT) (43 D2, 56 D3).			Accuracy - Omission	Critical	None
7	doc95	Ninety-two patients received the allocated treatment and were included in the per-protocol (PP) analysis: 39 of 43 in the D2 group and 53 of 56 in the D3 group.		Noventa y dos pacientes recibieron el tratamiento asignado y se los incluyó en el análisis por protocolo (PP): 39 de 43 en el grupo D2 y 53 de 56 en el grupo D3.					None
8	doc95	There were no deaths.		No hubo muertes.					None
9	doc95	The 30-day postoperative morbidity rate was 47 per cent in the D2 group and 48 per cent in the D3 group, with a risk ratio of 1·04 (95 per cent c.i. 0·68 to 1·58) (P = 0·867). There were two anastomotic leaks (5 per cent) in the D2 group and none in the D3 group.		La tasa de morbilidad 30 días después de la operación fue del 47 % en el grupo D2 y del 48 % en el grupo D3, con un cociente de riesgo de 1,04 (IC del 95 % de 0,68 a 1,58) (P = 0,867). Hubo dos fugas anastomóticas (5 por ciento) en el grupo D2 y ninguna en el grupo D3.					None
10	doc95	Postoperative recovery, complication and readmission rates did not differ between the groups in ITT and PP analyses.		Las tasas de recuperación posoperatoria, complicaciones y reingreso no difirieron entre los grupos en los análisis ITT y PP.					None
11	doc95	Mean lymph node yield was 26·6 and 27·8 in D2 and D3 procedures respectively.		El rendimiento medio de los ganglios linfáticos fue de 26,6 y 27,8 en los procedimientos D2 y D3, respectivamente.					None
12	doc95	Good quality of complete mesocolic excision was more frequently noted in the D3 group (P = 0·048).		La buena calidad de la escisión mesocólica completa se observó con mayor frecuencia en el grupo D3 (P = 0,048).					None
13	doc95	Three patients in the D3 group (5 per cent) had metastases in D3 lymph nodes.		Tres pacientes en el grupo D3 (5 por ciento) tenían metástasis en los ganglios linfáticos D3.					None
14	doc95	D3 was never the only affected level of lymph nodes.		D3 nunca fue el único nivel afectado de los ganglios linfáticos.					None
15	doc95	N-positive status was more common in the D3 group (46 per cent versus 26 per cent in D2), with a risk ratio of 1·81 (95 per cent c.i. 1·01 to 3·24) (P = 0·044). D3 lymph node dissection is feasible and may be associated with better N staging.		El estado N-positivo fue más frecuente en el grupo D3 (46 % frente al 26 % en D2), con un cociente de riesgos de 1,81 (IC del 95 % de 1,01 a 3,24) (P = 0,044). La disección ganglionar de D3 es factible y puede asociarse a una mejor estadificación N.					None
16	doc95	Registration number: NCT03009227 ( http://www.clinicaltrials.gov).		Número de registro: NCT03009227 (http://www.clinicaltrials.gov).					None
1	doc96	Functional status decline is related to many negative outcomes.		El deterioro del estado funcional se relaciona con muchos resultados negativos.					None
2	doc96	To explore the relationship of sociodemographic, medical, and psychological factors with the incidence of functional status decline in Mexican older adults.		Explorar la relación de factores sociodemográficos, médicos y psicológicos con la incidencia de deterioro del estado funcional en adultos mayores mexicanos.					None
3	doc96	Data from the 2012 and 2015 waves of the Mexican Health and Aging Study (MHAS) survey were analyzed.		Se analizaron los datos de las oleadas de 2012 y 2015 de la encuesta del Estudio Mexicano de Salud y Envejecimiento (MHAS).					None
4	doc96	Participants with previous functional status decline at baseline were excluded.		Se excluyeron los participantes con deterioro previo del estado funcional al inicio del estudio.					None
5	doc96	We assessed functional status decline individually with activities of daily living (ADL) and instrumental ADL (IADLs) in an individual way.		Evaluamos el deterioro del estado funcional individualmente con las actividades de la vida diaria (AVD) y las actividades instrumentales de la vida diaria (AIVD) de forma individual.					None
6	doc96	Age was associated with functional limitations in ADL.		La edad se asoció a limitaciones funcionales en las AVD.					None
7	doc96	Being male had an association with limitations for IADL.		Ser hombre tenía una asociación a limitaciones para las AIVD.					None
8	doc96	A poor financial situation and lower education related to higher limitations for ADL.		Una mala situación financiera y una menor escolaridad se relacionaron con mayores limitaciones para las AVD.					None
9	doc96	Furthermore, pain, comorbidities, and depression were found to be independently associated with limitations in ADL.		Además, el dolor, las comorbilidades y la depresión se asociaron de forma independiente a las limitaciones en las AVD.					None
10	doc96	IADL limitation was associated with age, poor education, comorbidities, and depression, as well as cognitive impairment.		La limitación en las AIVD se asoció a la edad, al bajo nivel de educación, a las comorbilidades y a la depresión, así como al deterioro cognitivo.					None
11	doc96	We found that factors such as age, financial status, educational level, pain, and the number of comorbidities were associated with the incidence of functional status decline.		Se observó que factores como la edad, la situación económica, el nivel educativo, el dolor y la cantidad de comorbilidades se asociaban a la incidencia de deterioro del estado funcional.					None
12	doc96	Pain had a greater association in the 3-year functional ADL decline incidence when compared with cognitive impairment.		El dolor tuvo una mayor asociación en la incidencia de deterioro funcional de las AVD a los 3 años en comparación con el deterioro cognitivo.					None
13	doc96	Studying functional decline by domains allowed us to find more detailed information to identify factors susceptible to intervention with the aim to reduce the incidence of functional status decline and dependence.		Estudiar el deterioro funcional por dominios nos permitió encontrar información más detallada para identificar factores susceptibles de intervención, con el objetivo de reducir la incidencia de deterioro del estado funcional y la dependencia.					None
1	doc97	Advances in the diagnosis and treatment of breast cancer have improved the prognosis for these patients.		Los avances en el diagnóstico y el tratamiento del cáncer de mama han mejorado el pronóstico de estas pacientes.					None
2	doc97	Consequently, a greater number of survivors are facing the process of returning to work.		En consecuencia, una mayor cantidad de supervivientes se encuentran frente al proceso de reincorporación al trabajo.					None
3	doc97	The objective of the present study was to analyze the frequency, median time and factors related to the return to work of patients with breast cancer, after diagnosis and completion of treatment at a cancer referral center in the city of Medellín, Colombia METHODS: a retrospective cohort study was carried out with registries of patients with breast cancer (n = 141) from a reference cancer center.		El objetivo del presente estudio fue analizar la frecuencia, la mediana de tiempo y los factores relacionados con la reincorporación al trabajo de pacientes con cáncer de mama, después del diagnóstico y finalización del tratamiento en un centro de derivación oncológica en la ciudad de Medellín, Colombia. MÉTODOS: se realizó un estudio retrospectivo de cohortes con registros de pacientes con cáncer de mama (n = 141) de un centro de derivación oncológica.					None
4	doc97	Sociodemographic, occupational, treatment variables and prevalence of return to work were measured.		Se midieron variables sociodemográficas, ocupacionales, de tratamiento y de prevalencia de reincorporación al trabajo.					None
5	doc97	The average age at diagnosis was 45.8 ± 9 years, Most of the women were premenopausal,and 45% performed manual labour.		La edad promedio en el momento del diagnóstico era de 45,8 ± 9 años, la mayoría de las mujeres eran premenopáusicas y el 45 % realizaban trabajos manuales.					None
6	doc97	Advanced disease stage, manual labour, the presence of lymphedema and a greater number of episodes and days of disability werenegatively related to return to work.		El estadio avanzado de la enfermedad, el trabajo manual, la presencia de linfedema y una mayor cantidad de episodios y días de incapacidad se relacionaron de manera negativa con la reincorporación al trabajo.					None
7	doc97	A total of 93% of patients returned to work.		Un total del 93 % de las pacientes volvieron a trabajar.					None
8	doc97	This study shows that return to work differs according to disease stage, treatment-related factors and type of work.		Este estudio muestra que la reincorporación al trabajo difiere según el estadio de la enfermedad, los factores relacionados con el tratamiento y el tipo de trabajo.					None
1	doc98	In the last decades, only few improvements have been made in the comprehension of bladder cancer tumor leading to few improvements in the development of new diagnostic and therapeutic approaches.		En las últimas décadas, solo se han logrado pocas mejoras en la comprensión de los tumores de cáncer de vejiga, lo que conduce a pocas mejoras en el desarrollo de nuevos abordajes diagnósticos y terapéuticos.					None
2	doc98	However, in the last years several step forwards in the field of precision medicine have been made.		Sin embargo, en los últimos años se ha avanzado bastante en el campo de la Medicina de Precisión.		Sin embargo, en los últimos años se ha avanzado bastante en el campo de la <tag>Medicina de Precisión.</tag>	Linguistic Conventions - Punctuation	Neutral	None
3	doc98	In this review we focused on some of these elements such as the available biomarkers, the role of enhanced transurethral resection of the bladder and the role of the molecular classification in defining prognosis and therapeutic approaches in bladder cancer patients.		En esta revisión nos enfocamos en algunos de estos elementos, como los biomarcadores disponibles, el papel de la resección transuretral mejorada de la vejiga y el papel de la clasificación molecular en la definición del pronóstico y los abordajes terapéuticos en pacientes con cáncer de vejiga.		En esta <tag>revisión</tag> nos enfocamos en algunos de estos elementos, como los biomarcadores disponibles, el papel de la resección transuretral mejorada de la vejiga y el papel de la clasificación molecular en la definición del pronóstico y los abordajes terapéuticos en pacientes con cáncer de vejiga.	Terminology - Wrong term	Neutral	None
4	doc98	Although several progresses have been made, at the time none of the existing biomarkers appear to be able to safely avoid the need of cystoscopy during the follow up of bladder cancer patients.		Si bien se han realizado varios avances, en este momento ninguno de los biomarcadores existentes parece poder evitar de forma segura la necesidad de realizar una cistoscopia durante el seguimiento de los pacientes con cáncer de vejiga.					None
5	doc98	However, these biomarkers representan important tool to follow up patients with a less invasive methods and in the near future might be able to substitute the need of cystoscopy.		Sin embargo, estos biomarcadores representan una herramienta importante para el seguimiento de los pacientes con métodos menos invasivos y, en un futuro próximo, podrían sustituir a la cistoscopia.					None
6	doc98	Enhanced transurethral resection technique can in some cases reduce the risk of recurrence during follow up, although its impact on survival outcomes is still under debate.		La técnica de resección transuretral mejorada puede reducir en algunos casos el riesgo de recurrencia durante el seguimiento, aunque su impacto en los resultados de supervivencia sigue siendo objeto de debate.					None
7	doc98	Transurethral resection of the bladder represents a fundamental diagnostic and therapeutic step in the management of bladder cancer and these techniques can successfully improve its outcomes.		La resección transuretral de la vejiga representa un paso fundamental en el diagnóstico y el tratamiento del cáncer de vejiga, y estas técnicas pueden mejorar con éxito sus resultados.					None
8	doc98	Finally, the molecular classification of the bladder cancer represents one of the most exciting novelty in this field, improving consistently the knowledge of bladder cancer.		Por último, la clasificación molecular del cáncer de vejiga representa una de las novedades más interesantes en este campo, ya que amplía constantemente el conocimiento sobre el cáncer de vejiga.					None
9	doc98	Improvements regarding prognoses and therapeutics can be achieved although data stil need validation.		Se pueden lograr mejoras con respecto al pronóstico y el tratamiento, aunque los datos aún necesitan validación.					None
1	doc99	Compared to higher-income couples, low-income couples experience higher rates of relationship disruption, including divorce and breakup of cohabiting relationships.		En las parejas de bajos ingresos, las tasas de alteración de la relación, como el divorcio y la ruptura de relaciones de cohabitación, son más altas con respecto a las parejas de mayores ingresos.					None
2	doc99	In recognition of this disparity in relationship outcomes, relationship interventions have increasingly been targeted at this population.		Teniendo en cuenta esta disparidad en los desenlaces de las relaciones, las intervenciones de relaciones están dirigidas cada vez más a esta población.					None
3	doc99	However, these interventions have had limited impacts on the relationships of low-income couples.		Sin embargo, estas intervenciones no han tenido mucho impacto en las relaciones de las parejas de bajos ingresos.					None
4	doc99	Developing interventions that are effective and responsive to the needs of low-income couples requires descriptive data on the challenges those couples perceive in their own relationships and an assessment of how their needs compare to the more affluent couples typically served by relationship interventions.		Desarrollar intervenciones que sean eficaces y respondan a las necesidades de las parejas de bajos ingresos requiere datos descriptivos sobre las dificultades que esas parejas perciben en sus propias relaciones y una evaluación de cómo sus necesidades se comparan con las de parejas de mayores ingresos a las que suelen apuntar las intervenciones de relaciones.					None
5	doc99	The current study sampled over 5,000 individuals at the time they were seeking an online relationship intervention and compared the relationship functioning and life circumstances reported by low-income individuals to that of higher-income individuals.		El estudio actual hizo un muestreo de más de 5000 personas en el momento en que buscaban una intervención de relaciones en línea y comparó el funcionamiento de la relación y las circunstancias de vida informadas por las personas de bajos ingresos con las de las personas de mayores ingresos.					None
6	doc99	Results indicate that low-income individuals seeking a relationship intervention had higher levels of relationship distress (lower relationship satisfaction, more intense primary relationship problems, and less relationship stability), and had greater levels of contextual stress (more children living at home, less likely to be employed full-time, and lower levels of perceived health).		Los resultados indican que las personas de bajos ingresos que buscaban una intervención de relaciones tenían niveles más altos de angustia en la relación (menor satisfacción con la relación, problemas más intensos en la relación primaria y menos estabilidad de la relación) y tenían mayores niveles de estrés contextual (más hijos que viven en casa, menos probabilidad de tener un empleo a tiempo completo y niveles más bajos de estado de salud percibido).					None
7	doc99	Results suggest that future interventions designed to target low-income couples, as well as practitioners working with low-income couples, should be prepared to handle higher levels of relationship distress and contextual stressors than they may typically see in more affluent couples.		Los resultados indican que las futuras intervenciones diseñadas para las parejas de bajos ingresos, así como los profesionales que trabajan con parejas de bajos ingresos, deben estar preparados para manejar mayores niveles de angustia en la relación y más factores de estrés contextuales que los que se pueden ver típicamente en parejas de mayores ingresos.					None
